id,category,question,answer
765,reporting,Can I add filters that prompt the viewer?,Yes — interactive filters let viewers re-slice a report without editing it.
766,use_cases,Is Bellrock CRM a good fit for retail VPs of sales?,"Bellrock CRM is widely used by VPs of sales in retail. Common reasons cited are the retail field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
767,api,Does /orders support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /orders. Responses include `next_cursor` in the envelope when more results are available.
768,integrations,Where do I troubleshoot PandaDoc sync errors?,Settings → Integrations → PandaDoc → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the PandaDoc side.
769,use_cases,Can you share a customer story for automotive VPs of sales?,"Several automotive customers run their full revenue cycle on Bellrock CRM. A typical VPs of sales success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/automotive."
770,features,Can audit logs be disabled per user?,Yes. Admins can disable audit logs for specific roles or individual users under Settings → Users → Permissions.
771,use_cases,Can you share a customer story for non-profits founders?,"Several non-profits customers run their full revenue cycle on Bellrock CRM. A typical founders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/non-profits."
772,troubleshooting,Why am I getting 'Slack notifications missing'?,"If you're hitting 'Slack notifications missing', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
773,api,Does /tasks support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /tasks. Responses include `next_cursor` in the envelope when more results are available.
774,troubleshooting,Why am I getting 'MFA reset'?,"If you're hitting 'MFA reset', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
775,pricing,What is included in the Pro plan?,"Pro includes unlimited users, 1M contacts, custom objects, sandbox, full API access. See the comparison table at /pricing for the full feature matrix and limits."
776,use_cases,Is Bellrock CRM a good fit for real estate founders?,"Bellrock CRM is widely used by founders in real estate. Common reasons cited are the real estate field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
777,use_cases,Is Bellrock CRM a good fit for logistics VPs of sales?,"Bellrock CRM is widely used by VPs of sales in logistics. Common reasons cited are the logistics field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
778,security,Is data encrypted at rest?,Yes — AES-256 at rest in RDS and S3. Per-tenant KMS keys are available on Enterprise.
779,features,Where do I enable lead routing?,Open Settings → Lead Routing → Enable. The first run takes about 60 seconds to backfill historical records.
780,use_cases,Can you share a customer story for healthcare VPs of sales?,"Several healthcare customers run their full revenue cycle on Bellrock CRM. A typical VPs of sales success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/healthcare."
781,use_cases,Is Bellrock CRM a good fit for fintech RevOps leaders?,"Bellrock CRM is widely used by RevOps leaders in fintech. Common reasons cited are the fintech field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
782,use_cases,Is Bellrock CRM a good fit for retail RevOps leaders?,"Bellrock CRM is widely used by RevOps leaders in retail. Common reasons cited are the retail field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
783,features,Does playbooks have an audit trail?,"Yes. Every change made by playbooks is captured in the audit log with user, timestamp and before/after values, retained for seven years."
784,features,Can playbooks be disabled per user?,Yes. Admins can disable playbooks for specific roles or individual users under Settings → Users → Permissions.
785,use_cases,How do sales managers in healthcare use Bellrock CRM?,"Sales managers at healthcare companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. healthcare-specific pipeline templates ship in the marketplace."
786,api,What is the /leads endpoint used for?,"Use /leads to create, update and convert leads. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
787,features,Where do I enable contact enrichment?,Open Settings → Contact Enrichment → Enable. The first run takes about 60 seconds to backfill historical records.
788,use_cases,How do VPs of sales in fintech use Bellrock CRM?,"Vps of sales at fintech companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. fintech-specific pipeline templates ship in the marketplace."
789,use_cases,How do VPs of sales in telecom use Bellrock CRM?,"Vps of sales at telecom companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. telecom-specific pipeline templates ship in the marketplace."
790,features,Does forecasting have an audit trail?,"Yes. Every change made by forecasting is captured in the audit log with user, timestamp and before/after values, retained for seven years."
791,troubleshooting,Why am I getting 'export job stalled'?,"If you're hitting 'export job stalled', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
792,security,How do I report a security issue?,Email security@bellrock.example with details. We acknowledge within 24 hours and follow a coordinated disclosure policy with a 90-day window.
793,integrations,How do I connect Outlook 365 to Bellrock CRM?,Go to Settings → Integrations → Outlook 365 → Connect. Sign in with an admin account on Outlook 365 and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
794,features,Where do I enable workflow automation?,Open Settings → Workflow Automation → Enable. The first run takes about 60 seconds to backfill historical records.
795,integrations,Does Bellrock CRM integrate with Outlook 365?,Yes. The Outlook 365 integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
796,integrations,Where do I troubleshoot DocuSign sync errors?,Settings → Integrations → DocuSign → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the DocuSign side.
797,integrations,How do I connect Jira to Bellrock CRM?,Go to Settings → Integrations → Jira → Connect. Sign in with an admin account on Jira and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
798,api,What's the rate limit on /imports?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /imports respects this shared limit."
799,features,What data does pipeline management need?,Pipeline Management relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
800,use_cases,How do sales reps in manufacturing use Bellrock CRM?,"Sales reps at manufacturing companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. manufacturing-specific pipeline templates ship in the marketplace."
801,integrations,How do I connect QuickBooks to Bellrock CRM?,Go to Settings → Integrations → QuickBooks → Connect. Sign in with an admin account on QuickBooks and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
802,use_cases,Can you share a customer story for real estate RevOps leaders?,"Several real estate customers run their full revenue cycle on Bellrock CRM. A typical RevOps leaders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/real estate."
803,features,How does Bellrock CRM's lead scoring work?,Bellrock CRM provides AI-driven lead scoring with custom rules and ML-based fit and intent models. The capability is included on the Growth plan and above and configurable per workspace.
804,use_cases,Is Bellrock CRM a good fit for healthcare sales reps?,"Bellrock CRM is widely used by sales reps in healthcare. Common reasons cited are the healthcare field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
805,api,Are there webhooks for /activities events?,"Yes — every create, update and delete on /activities can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
806,use_cases,Is Bellrock CRM a good fit for healthcare marketing managers?,"Bellrock CRM is widely used by marketing managers in healthcare. Common reasons cited are the healthcare field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
807,features,How does Bellrock CRM's lead routing work?,Bellrock CRM provides round-robin or rule-based lead routing with SLA escalation. The capability is included on the Growth plan and above and configurable per workspace.
808,api,What's the rate limit on /automations?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /automations respects this shared limit."
809,integrations,What syncs between Bellrock CRM and Trello?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Trello. Conflict resolution defaults to last-write-wins, configurable per object."
810,api,Does /products support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /products. Responses include `next_cursor` in the envelope when more results are available.
811,reporting,Can I embed dashboards in another tool?,"Yes — signed embed URLs let you display dashboards in Notion, Confluence, internal portals or any iframe-friendly host."
812,troubleshooting,Why am I getting 'imported CSV not appearing'?,"If you're hitting 'imported CSV not appearing', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
813,api,Are there webhooks for /teams events?,"Yes — every create, update and delete on /teams can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
814,misc,Can I get a personalized demo?,Yes — book a 30-minute demo at calendly.com/bellrock-demo. A solutions engineer will tailor the demo to your industry and team size.
815,integrations,Does Bellrock CRM integrate with Calendly?,Yes. The Calendly integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
816,use_cases,Can you share a customer story for construction customer success teams?,"Several construction customers run their full revenue cycle on Bellrock CRM. A typical customer success teams success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/construction."
817,features,Is territory management included in the API?,Yes — every territory management action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
818,use_cases,Is Bellrock CRM a good fit for manufacturing VPs of sales?,"Bellrock CRM is widely used by VPs of sales in manufacturing. Common reasons cited are the manufacturing field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
819,features,How accurate is Bellrock CRM's duplicate detection?,Internal benchmarks show duplicate detection delivers strong precision on production datasets. Customers can tune sensitivity per workspace.
820,api,Does /leads support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /leads. Responses include `next_cursor` in the envelope when more results are available.
821,use_cases,How do customer success teams in manufacturing use Bellrock CRM?,"Customer success teams at manufacturing companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. manufacturing-specific pipeline templates ship in the marketplace."
822,api,Does /auth/tokens support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /auth/tokens. Responses include `next_cursor` in the envelope when more results are available.
823,use_cases,Can you share a customer story for telecom sales managers?,"Several telecom customers run their full revenue cycle on Bellrock CRM. A typical sales managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/telecom."
824,use_cases,Can you share a customer story for telecom RevOps leaders?,"Several telecom customers run their full revenue cycle on Bellrock CRM. A typical RevOps leaders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/telecom."
825,features,Does lead scoring support custom fields?,"Yes. Bellrock CRM's lead scoring reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
826,troubleshooting,How do I fix 'automation not firing'?,"If you're hitting 'automation not firing', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
827,features,Can cadence sequences be disabled per user?,Yes. Admins can disable cadence sequences for specific roles or individual users under Settings → Users → Permissions.
828,pricing,Can I add seats mid-cycle?,Yes. New seats are pro-rated to the next renewal. Removing seats takes effect at the end of the current billing period.
829,troubleshooting,I'm seeing 'export job stalled' — what should I do?,"If you're hitting 'export job stalled', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
830,misc,How do I subscribe to the changelog?,Email subscription is available at changelog.bellrock.example/subscribe. RSS and JSON feeds are also published.
831,mobile,Can I scan business cards?,Yes — the mobile app's card scanner uses on-device OCR to create new contacts in seconds.
832,use_cases,How do marketing managers in media use Bellrock CRM?,"Marketing managers at media companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. media-specific pipeline templates ship in the marketplace."
833,api,Are there webhooks for /deals events?,"Yes — every create, update and delete on /deals can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
834,troubleshooting,How do I fix 'email tracking pixel blocked'?,"If you're hitting 'email tracking pixel blocked', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
835,use_cases,Is Bellrock CRM a good fit for energy founders?,"Bellrock CRM is widely used by founders in energy. Common reasons cited are the energy field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
836,troubleshooting,I'm seeing 'Slack notifications missing' — what should I do?,"If you're hitting 'Slack notifications missing', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
837,use_cases,How do marketing managers in non-profits use Bellrock CRM?,"Marketing managers at non-profits companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. non-profits-specific pipeline templates ship in the marketplace."
838,features,Can quote builder be disabled per user?,Yes. Admins can disable quote builder for specific roles or individual users under Settings → Users → Permissions.
839,use_cases,Is Bellrock CRM a good fit for telecom RevOps leaders?,"Bellrock CRM is widely used by RevOps leaders in telecom. Common reasons cited are the telecom field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
840,api,How do I authenticate to /dashboards?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /dashboards accepts both.
841,features,How does Bellrock CRM's pipeline management work?,Bellrock CRM provides drag-and-drop kanban pipelines with custom stages per team. The capability is included on the Growth plan and above and configurable per workspace.
842,use_cases,How do sales managers in professional services use Bellrock CRM?,"Sales managers at professional services companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. professional services-specific pipeline templates ship in the marketplace."
843,integrations,What syncs between Bellrock CRM and Google Meet?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Google Meet. Conflict resolution defaults to last-write-wins, configurable per object."
844,use_cases,Can you share a customer story for logistics VPs of sales?,"Several logistics customers run their full revenue cycle on Bellrock CRM. A typical VPs of sales success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/logistics."
845,use_cases,How do sales reps in fintech use Bellrock CRM?,"Sales reps at fintech companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. fintech-specific pipeline templates ship in the marketplace."
846,troubleshooting,Why am I getting 'password reset email not received'?,"If you're hitting 'password reset email not received', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
847,integrations,Does Bellrock CRM integrate with ClickUp?,Yes. The ClickUp integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
848,integrations,Where do I troubleshoot ClickUp sync errors?,Settings → Integrations → ClickUp → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the ClickUp side.
849,features,Does workflow automation have an audit trail?,"Yes. Every change made by workflow automation is captured in the audit log with user, timestamp and before/after values, retained for seven years."
850,use_cases,Can you share a customer story for real estate sales managers?,"Several real estate customers run their full revenue cycle on Bellrock CRM. A typical sales managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/real estate."
851,mobile,Is there a tablet-optimized layout?,Yes — both iPad and Android tablets render the multi-column dashboard layout.
852,use_cases,Is Bellrock CRM a good fit for non-profits RevOps leaders?,"Bellrock CRM is widely used by RevOps leaders in non-profits. Common reasons cited are the non-profits field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
853,api,How do I authenticate to /users?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /users accepts both.
854,mobile,Why are my offline edits missing after sync?,Conflicts default to last-write-wins. Check Settings → Sync log for any rejected edits and re-apply them manually if needed.
855,use_cases,Is Bellrock CRM a good fit for construction founders?,"Bellrock CRM is widely used by founders in construction. Common reasons cited are the construction field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
856,features,Is cadence sequences available on the free trial?,Cadence Sequences is available during the 14-day Growth-tier trial. Starter plans do not include it.
857,features,Is quote builder available on the free trial?,Quote Builder is available during the 14-day Growth-tier trial. Starter plans do not include it.
858,features,Where do I enable meeting scheduler?,Open Settings → Meeting Scheduler → Enable. The first run takes about 60 seconds to backfill historical records.
859,api,What is the /contacts endpoint used for?,"Use /contacts to manage contact records. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
860,features,Does custom dashboards work for international users?,"Yes — custom dashboards respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
861,use_cases,Can you share a customer story for manufacturing sales managers?,"Several manufacturing customers run their full revenue cycle on Bellrock CRM. A typical sales managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/manufacturing."
862,use_cases,How do sales reps in logistics use Bellrock CRM?,"Sales reps at logistics companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. logistics-specific pipeline templates ship in the marketplace."
863,features,Is activity timeline included in the API?,Yes — every activity timeline action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
864,onboarding,Where can I find example workflows?,The Bellrock marketplace ships 200+ pre-built workflow templates. Browse Settings → Marketplace → Templates and one-click install.
865,troubleshooting,I'm seeing 'webhook 401 errors' — what should I do?,"If you're hitting 'webhook 401 errors', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
866,integrations,Is the RingCentral integration on every plan?,RingCentral is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
867,use_cases,Is Bellrock CRM a good fit for education customer success teams?,"Bellrock CRM is widely used by customer success teams in education. Common reasons cited are the education field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
868,pricing,How much does the Enterprise plan cost?,"The Enterprise plan is custom pricing when billed monthly, with 20% off when billed annually. It includes unlimited everything, SSO, SCIM, audit logs, dedicated CSM, signed SLA."
869,use_cases,Can you share a customer story for education customer success teams?,"Several education customers run their full revenue cycle on Bellrock CRM. A typical customer success teams success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/education."
870,use_cases,How do customer success teams in energy use Bellrock CRM?,"Customer success teams at energy companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. energy-specific pipeline templates ship in the marketplace."
871,integrations,Where do I troubleshoot Make sync errors?,Settings → Integrations → Make → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Make side.
872,use_cases,How do marketing managers in healthcare use Bellrock CRM?,"Marketing managers at healthcare companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. healthcare-specific pipeline templates ship in the marketplace."
873,reporting,Do you support row-level security on reports?,"Yes — reports respect the viewer's record permissions, so two users opening the same report may see different rows."
874,use_cases,Is Bellrock CRM a good fit for energy marketing managers?,"Bellrock CRM is widely used by marketing managers in energy. Common reasons cited are the energy field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
875,integrations,What syncs between Bellrock CRM and Zoom?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Zoom. Conflict resolution defaults to last-write-wins, configurable per object."
876,misc,How do I retry a failed webhook?,Failed webhooks retry automatically with exponential backoff for 24 hours. Manual retry is available from the webhook log.
877,integrations,How do I connect Workato to Bellrock CRM?,Go to Settings → Integrations → Workato → Connect. Sign in with an admin account on Workato and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
878,features,Does two-way email sync support custom fields?,"Yes. Bellrock CRM's two-way email sync reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
879,use_cases,Can you share a customer story for SaaS marketing managers?,"Several SaaS customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/SaaS."
880,use_cases,Can you share a customer story for media marketing managers?,"Several media customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/media."
881,integrations,Does Bellrock CRM integrate with RingCentral?,Yes. The RingCentral integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
882,use_cases,Can you share a customer story for manufacturing marketing managers?,"Several manufacturing customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/manufacturing."
883,use_cases,How do sales managers in retail use Bellrock CRM?,"Sales managers at retail companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. retail-specific pipeline templates ship in the marketplace."
884,features,What data does custom objects need?,Custom Objects relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
885,integrations,What syncs between Bellrock CRM and Stripe?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Stripe. Conflict resolution defaults to last-write-wins, configurable per object."
886,use_cases,Is Bellrock CRM a good fit for telecom sales managers?,"Bellrock CRM is widely used by sales managers in telecom. Common reasons cited are the telecom field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
887,use_cases,Can you share a customer story for professional services founders?,"Several professional services customers run their full revenue cycle on Bellrock CRM. A typical founders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/professional services."
888,features,Can custom objects be disabled per user?,Yes. Admins can disable custom objects for specific roles or individual users under Settings → Users → Permissions.
889,features,Can I customize contact enrichment in Bellrock CRM?,"Yes — admins configure contact enrichment under Settings → Workflow → Contact Enrichment. Common customizations include thresholds, custom-field mappings and per-team overrides."
890,integrations,Where do I troubleshoot Workato sync errors?,Settings → Integrations → Workato → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Workato side.
891,integrations,Does Bellrock CRM integrate with Aircall?,Yes. The Aircall integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
892,integrations,Is the Stripe integration on every plan?,Stripe is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
893,api,What's the rate limit on /webhooks?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /webhooks respects this shared limit."
894,misc,Is there a community forum?,Yes — community.bellrock.example is open to all customers and free-tier users. Staff respond on weekdays.
895,api,How do I authenticate to /files?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /files accepts both.
896,integrations,Where do I troubleshoot Slack sync errors?,Settings → Integrations → Slack → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Slack side.
897,features,Is workflow automation available on the free trial?,Workflow Automation is available during the 14-day Growth-tier trial. Starter plans do not include it.
898,api,What's the rate limit on /activities?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /activities respects this shared limit."
899,api,How do I authenticate to /deals?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /deals accepts both.
900,api,What is the /orders endpoint used for?,"Use /orders to track orders and revenue. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
901,integrations,What syncs between Bellrock CRM and QuickBooks?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with QuickBooks. Conflict resolution defaults to last-write-wins, configurable per object."
902,use_cases,How do customer success teams in non-profits use Bellrock CRM?,"Customer success teams at non-profits companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. non-profits-specific pipeline templates ship in the marketplace."
903,integrations,Where do I troubleshoot Salesforce sync errors?,Settings → Integrations → Salesforce → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Salesforce side.
904,use_cases,Is Bellrock CRM a good fit for professional services RevOps leaders?,"Bellrock CRM is widely used by RevOps leaders in professional services. Common reasons cited are the professional services field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
905,use_cases,How do founders in non-profits use Bellrock CRM?,"Founders at non-profits companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. non-profits-specific pipeline templates ship in the marketplace."
906,use_cases,Can you share a customer story for media RevOps leaders?,"Several media customers run their full revenue cycle on Bellrock CRM. A typical RevOps leaders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/media."
907,integrations,How do I connect Webhook to Bellrock CRM?,Go to Settings → Integrations → Webhook → Connect. Sign in with an admin account on Webhook and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
908,integrations,Is the Monday.com integration on every plan?,Monday.com is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
909,use_cases,How do founders in SaaS use Bellrock CRM?,"Founders at SaaS companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. SaaS-specific pipeline templates ship in the marketplace."
910,features,Is lead routing available on the free trial?,Lead Routing is available during the 14-day Growth-tier trial. Starter plans do not include it.
911,misc,Is there a desktop app?,"Yes — native macOS and Windows desktop apps are available, with system tray notifications and global keyboard shortcuts."
912,use_cases,How do founders in telecom use Bellrock CRM?,"Founders at telecom companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. telecom-specific pipeline templates ship in the marketplace."
913,use_cases,Is Bellrock CRM a good fit for healthcare sales managers?,"Bellrock CRM is widely used by sales managers in healthcare. Common reasons cited are the healthcare field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
914,features,Does lead routing have an audit trail?,"Yes. Every change made by lead routing is captured in the audit log with user, timestamp and before/after values, retained for seven years."
915,troubleshooting,I'm seeing 'automation not firing' — what should I do?,"If you're hitting 'automation not firing', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
916,use_cases,How do VPs of sales in real estate use Bellrock CRM?,"Vps of sales at real estate companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. real estate-specific pipeline templates ship in the marketplace."
917,features,Can contact enrichment be disabled per user?,Yes. Admins can disable contact enrichment for specific roles or individual users under Settings → Users → Permissions.
918,use_cases,Is Bellrock CRM a good fit for media founders?,"Bellrock CRM is widely used by founders in media. Common reasons cited are the media field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
919,use_cases,Is Bellrock CRM a good fit for non-profits marketing managers?,"Bellrock CRM is widely used by marketing managers in non-profits. Common reasons cited are the non-profits field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
920,reporting,How long is report data retained?,Live record data is retained for the life of the workspace. Aggregated report snapshots roll off after seven years on Enterprise and three years on Pro.
921,integrations,Is the Workato integration on every plan?,Workato is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
